year,color,mileage,motor,shasi,body,Insurance,price
۱۳۹۷,سفید,۷۴٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,۳۷۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۶,سفید,۹۷٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۵ ماه,۳۳۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۹,سفید,۲۶٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,۴۱۹٬۰۰۰٬۰۰۰ تومان
۱۳۹۰,سفید,۱۳۲٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,۳۰۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۲,یشمی,۴۸۰٬۰۰۰,سالم,سالم و پلمپ,دوررنگ,۱ ماه,۱۶۷٬۰۰۰٬۰۰۰ تومان
۱۴۰۱,سفید,۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,۴۹۰٬۰۰۰٬۰۰۰ تومان
,,,,,,,
۱۳۹۸,سفید,۳۹٬۵۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,۴۰۹٬۰۰۰٬۰۰۰ تومان
۱۴۰۰,سفید,۲۲٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۴۴۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۸,سفید,۴۸٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۲ ماه,۴۱۰٬۰۰۰٬۰۰۰ تومان
,,,,,,,
,,,,,,,
۱۳۸۹,سفید صدفی,۲۸٬۵۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۱۲ ماه,۲۶۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۵,سفید,۱۹۵٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۱۱ ماه,۳۳۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۶,سفید,۱۱۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۸ ماه,۳۶۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۸,سفید,۸۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,۳۹۰٬۰۰۰٬۰۰۰ تومان
۱۴۰۰,سفید,۲۷٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,۴۵۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۴,سفید,۷۰٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی، در ۱ ناحیه,۶ ماه,۳۴۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۸,سفید,۴۴٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۹ ماه,۳۸۹٬۰۰۰٬۰۰۰ تومان
۱۳۹۷,سفید,۲۲۳٬۰۰۰,سالم,,رنگ‌شدگی,۱۰ ماه,۲۹۰٬۰۰۰٬۰۰۰ تومان
۱۳۸۲,مشکی,۳۷۸٬۰۰۰,سالم,سالم و پلمپ,تمام‌رنگ,۹ ماه,۱۴۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۴,قرمز,۱۵۴٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱ ماه,۳۰۶٬۰۰۰٬۰۰۰ تومان
۱۳۸۶,سفید,۱۵۰٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۷ ماه,۲۳۴٬۰۰۰٬۰۰۰ تومان
۱۴۰۱,سفید,۱۱٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,۴۷۰٬۰۰۰٬۰۰۰ تومان
